s_id,lastname,firstname,birthyear,sex,nationality,last_club,pb,results
4565947,BIERBERG,Gregory,1998,M,BEL,Royal Verviers Natation,51.18,t
5203206,SPADEA,Tommaso,2008,M,BEL,Leuven Aquatics,51.18,t
4074289,HENDRICKX,Lander,1994,M,BEL,Brabant East Swimming Team,51.20,t
4299632,DEWULF,Gillian,1996,M,BEL,Koninklijke Kortrijkse Zwemkri,51.20,t
4620662,DE WEIRDT,Jan,2000,M,BEL,Swimming Team Aalter,51.23,t
4029543,CUYVERS,Ruud,1984,M,BEL,Molse Zwemclub mozka,51.24,t
4304903,DAL,Lucas,1999,M,BEL,Royal Dauphins Mouscronnois,51.24,t
4068846,NAVARRE,Charles,1993,M,BEL,Cercle Royal De Natation De Br,51.25,t
4052997,VERACHTEN,Stef,1983,M,BEL,Molse Zwemclub mozka,51.26,t
4858932,VANHOUCKE,Louka,2002,M,BEL,Belgium,51.26,t
4306238,LEMMENS,Tuur,1997,M,BEL,Koninklijke Hasseltse Zwemvere,51.80,t
4398035,KRUIJTZER,Bram,1997,M,BEL,Zwemclub Brabo Antwerpen,51.80,t
4804654,WIELANDT,Pieter,1993,M,BEL,First (Flanders Inter Regio Sw,51.80,t
4074510,WILLEMS,Mattias,1991,M,BEL,Shark,52.98,t
4929150,VATA,Gjon,2002,M,BEL,Cercle Royal De Natation De Br,51.28,t
4576651,LUYTEN,Sjobbe,1998,M,BEL,Molse Zwemclub mozka,51.29,t
4393284,ROETE,Jonas,1997,M,BEL,Meetjesland-Gent Alliantie Zwemteam,51.36,t
4972461,VAN KEER,Yoran,2003,M,BEL,Leuven Aquatics,51.37,t
4970432,LAUREYSSENS,Daniel,2004,M,BEL,Zwemclub Schoten,51.38,t
4038651,FONTEYN,Mathieu,1985,M,BEL,Koninklijke Brugse Zwem- & Red,51.39,t
4805294,DE BAETS,Thomas,1989,M,BEL,Meetjesland-Gent Alliantie Zwemteam,51.41,t
4139755,VANDAMME,Lowie,1994,M,BEL,Koninklijke Brugse Zwem- & Red,51.42,t
5435647,DRUANT,Andreas,2006,M,BEL,Bruinvissen Diksmuide,51.44,t
4805268,POELMANS,Willem,1994,M,BEL,Koninklijke Hasseltse Zwemvere,51.46,t
4307551,VAN DEN BROECK,Matthias,1992,M,BEL,Zwemclub Brabo Antwerpen,51.47,t
4839464,DE SWERDT,Niels,2007,M,BEL,Tiense Regio United Swimming Team,51.48,t
4938131,WEYTS,Milan,2004,M,BEL,Koninklijke Brugse Zwem- & Red,51.50,t
4804815,MATTELAER,Mathieu,1991,M,BEL,Gold Swimming Team,51.51,t
4427953,HOUSEN,Stef,2000,M,BEL,Zwemvereniging De Meerkoet Bre,51.51,t
4439711,VAN REGENMORTEL,Michiel,1994,M,BEL,Shark,51.52,t
4812893,CARCHON,Brecht,2003,M,BEL,Leuven Aquatics,51.53,t
4804391,ROBBE,Michael,1985,M,BEL,Gold Swimming Team,51.57,t
5046657,KALOGEROPOULOS,Zeno,2004,M,BEL,Zwemclub Brabo Antwerpen,51.57,t
4074504,BRYDENBACH,Hans,1987,M,BEL,Shark,51.59,t
4074687,VERPLANKEN,Jesper,1987,M,BEL,Zwemclub Tremelo,51.60,t
4805377,VANDEVELDE,Raf,1993,M,BEL,Swimming Team Tienen,51.62,t
4564607,VANDERSYPEN,Vincent,1999,M,BEL,Zwemclub Brabo Antwerpen,51.62,t
5092546,VAN CLEVEN,Thijs,2005,M,BEL,Koninklijke Brugse Zwem- & Red,51.62,t
4199952,VAN AUDEKERKE,Nils,1996,M,BEL,Temse Schelde Zwemmers,51.65,t
4307374,THIRY,Simon,1998,M,BEL,Ecole Seraing Natation,51.67,t
5343763,MAGREMANNE,Matheo,2008,M,BEL,Waterloo Natation,51.70,t
4029203,CLAEYS,Bruno,1982,M,BEL,Koninklijke Brugse Zwem- & Red,51.71,t
5346003,LAVIOLETTE,Simon,2008,M,BEL,Swimming Club Rixensart,51.73,t
4805082,VAN MECHELEN,Ken,1992,M,BEL,Arendonkse Zwemvereniging,51.74,t
4219612,AERTS-BANCKEN,Guillaume,1996,M,BEL,Liege Atlas Swimming Team,51.77,t
4936597,JANSSENS,Renzo,2002,M,BEL,Zwemclub Brabo Antwerpen,51.77,t
4863325,GRONDEL,Charles,2002,M,BEL,Tiense Regio United Swimming Team,51.77,t
4085511,KURZAK,Jeremy,1990,M,BEL,Mons Hainaut Natation,51.79,t
4805328,BONNEL,Nathan,1993,M,BEL,Braine L'alleud Aqua College,51.82,t
5105916,SNEYERS,Kobe,2006,M,BEL,Nijlense Zwemclub,51.82,t
4620619,DEREZ,Matthias,2000,M,BEL,Koninklijke Kortrijkse Zwemkri,51.83,t
5203185,TUYPENS,Emile,2007,M,BEL,First (Flanders Inter Regio Sw,51.84,t
4304707,CAERTS,Basten,1997,M,BEL,De Beringse Tuimelaars,51.87,t
4352042,MORIAU,Thibault,1999,M,BEL,Cercle De Natation Sportcity W,51.87,t
4199973,SPANHOVE,Lars,1996,M,BEL,Meetjesland-Gent Alliantie Zwemteam,51.89,t
4352047,FOURNEAU,Liam,2000,M,BEL,Castor Club De Mons,51.91,t
4073178,CATY,Quentin,1988,M,BEL,Cercle De Natation Sportcity W,51.92,t
5167359,MEES,Ruben,2006,M,BEL,Swimming Club Zaventem,51.93,t
4900525,OHN,Antoine,2002,M,BEL,Herstal Natation,51.93,t
4941444,VANSPAUWEN,Alexander,2003,M,BEL,Koninklijke Hasseltse Zwemvere,51.94,t
4927405,MEES,Brent,2003,M,BEL,Swimming Club Zaventem,51.97,t
4427736,DERYCKE,Jens,1993,M,BEL,Gold Swimming Team,51.99,t
4913529,GANTOIS,Olivier,2002,M,BEL,Meetjesland-Gent Alliantie Zwemteam,52.00,t
4140026,LENAERTS,Michael,1991,M,BEL,Cercle Royal De Natation De Br,52.01,t
5106643,SAIVE,Antoine,2004,M,BEL,Liege Natation,52.01,t
4804414,BAUWENS,Ward,1993,M,BEL,Zwemclub Brabo Antwerpen,52.05,t
4074305,BALLIU,Bjorn,1989,M,BEL,Zwemclub S.O.S.,52.06,t
4804504,CANON,Thomas,1991,M,BEL,Mons Hainaut Natation,52.10,t
4355425,THIRY,Gaetan,1995,M,BEL,Koninklijke Hasseltse Zwemvere,52.12,t
4680479,GULDENTOPS,Kevin,2000,M,BEL,Temse Schelde Zwemmers,52.12,t
5365216,BRACKE,Erno,2005,M,BEL,Zwemclub Brabo Antwerpen,52.12,t
4255126,BOURLIER,Vincent,1992,M,BEL,Waterloo Natation,52.16,t
4742581,DONATI,Alexandre,2001,M,BEL,Royal Verviers Natation,52.18,t
4305183,DECOSSAUX,Valentin,1995,M,BEL,Leuven Aquatics,52.18,t
4565976,HAEGEMAN,Jonas,1999,M,BEL,Aalsters Swimming Team,52.20,t
4805342,FRANCOTTE,Sebastien,1992,M,BEL,Cercle De Natation Sportcity W,52.21,t
4304714,CARREMANS,Maarten,1998,M,BEL,Swimming Team Zennevallei,52.21,t
4804381,VANGENEUGDEN,Rob,1984,M,BEL,Peltse Zwemclub,52.24,t
4828064,HOREMANS,Ruben,2001,M,BEL,Shark,52.24,t
4804319,FLOREAN,Remy,1986,M,BEL,Cercle De Natation Sportcity W,52.25,t
4827868,VAN ROMPAEY,Senne,2003,M,BEL,Zwemclub Brabo Antwerpen,52.25,t
4037287,BODET,Sebastien,1985,M,BEL,Liege Natation,52.27,t
4804712,LANDAUER,Olivier,1992,M,BEL,Liege Natation,52.29,t
4199875,DECLERCQ,Vincent,1996,M,BEL,Aquarius Zwemclub Lebbeke,52.29,t
4255145,COREELMAN,Jonas,1991,M,BEL,Royal Dauphins Mouscronnois,52.31,t
4330712,FEUILLEN,David,1999,M,BEL,Ecole Seraing Natation,52.31,t
4484572,MULKERS,Lander,2000,M,BEL,Koninklijke Hasseltse Zwemvere,52.33,t
4393627,WILLEMS,Bruno,1999,M,BEL,Zwemvereniging Lier,52.35M,t
4295892,VAN BOGAERT,Bram,1998,M,BEL,Shark,52.36,t
4804351,VAN DEN BRANDE,Bart,1986,M,BEL,Heistse Zwemclub Arduas,52.37,t
4439615,PARMENTIER,Bavo,1998,M,BEL,Koninklijke Brugse Zwem- & Red,52.37,t
4074862,SYSTERMANS,Simon,1987,M,BEL,Liege Mosan,52.95,t
4779182,BERGHMANS,Jens,2001,M,BEL,Zwemclub Schoten,52.96,t
4074405,URBANUS,Mathieu,1987,M,BEL,Nageurs Reunis Du Brabant Wallon,52.97,t
4225698,RYDANT,Hannes,1993,M,BEL,Meetjesland-Gent Alliantie Zwemteam,52.97,t
4081649,PEETERS,Tim,1987,M,BEL,Koninklijke Racing Swimming Cl,52.38,t
5015629,SCHOTTE,Edward,2005,M,BEL,Iswim,52.40,t
4578972,DE GRAAF,Christophe,1999,M,BEL,Zwemclub Schoten,52.42,t
5081014,DEMAJ,Valdrim,2003,M,BEL,Koninklijke Vilvoordse Zwemclu,52.42,t
5185651,VANHECKE,Raphael,2006,M,BEL,Liege Natation,52.42,t
4911097,VAN DEN HOORN,Jelle,2004,M,BEL,Zwemvereniging De Meerkoet Bre,52.42,t
4805351,DE HERTOG,Kjel,1991,M,BEL,Swimming Club Strombeek-Grimbe,52.43,t
4308674,DEMEY,Patrick Jr,1995,M,BEL,Meetjesland-Gent Alliantie Zwemteam,52.44,t
4605646,RUIJTEN,Sander,2001,M,BEL,Zwemvereniging De Meerkoet Bre,52.44,t
5137758,FEYAERTS,Floris,2005,M,BEL,Tiense Regio United Swimming Team,52.45,t
4068904,SORET,Bastien,1992,M,BEL,Dison Welkenraedt Swimming Tea,52.46,t
4139944,ZERAIDI,Mehdi,1994,M,BEL,Cercle Royal De Natation De Br,52.46,t
4804789,ROGIERS,Ken,1989,M,BEL,Koninklijke Racing Swimming Cl,52.47,t
4348842,XHONNEUX,Thomas,1998,M,BEL,Herstal Natation,52.48,t
4826636,GEUENS,Lars,2003,M,BEL,Leuven Aquatics,52.49,t
5203731,CLAERHOUT,Bas,2008,M,BEL,Torhoutse Zwemklub Thor,52.49,t
4040337,SDRAULIG,Jean-Luc,1972,M,BEL,Belgium,52.50M,t
4777815,BERGES,Jens,2001,M,BEL,Heistse Zwemclub Arduas,52.50,t
4303501,DE POORTER,Bram,1984,M,BEL,Meetjesland-Gent Alliantie Zwemteam,52.51,t
4361330,VERBEEK,Bram,1999,M,BEL,Koninklijke Hasseltse Zwemvere,52.51,t
4989642,MAES,Yarn,2003,M,BEL,Zwemclub Brabo Antwerpen,52.52,t
5278506,VAN HOEY BILLIET,Alexander,2009,M,BEL,Swimming Team Waasland,52.52,t
4842525,VAN SON,Lander,1999,M,BEL,Zwemclub Brabo Antwerpen,52.53,t
4139676,RUIJTEN,Dieter,1995,M,BEL,Zwemvereniging De Meerkoet Bre,52.54,t
5015443,KALLAERT,Dries,2002,M,BEL,Meetjesland-Gent Alliantie Zwemteam,52.55,t
4139827,VAN DER SANDE,Olivier,1993,M,BEL,Zwemvereniging Lier,52.56,t
5091288,PANAGIOTIDIS,Alexandre,2004,M,BEL,Waterloo Natation,52.56,t
4605671,DAEMS,Etienne,2001,M,BEL,Zwemclub Tremelo,52.58,t
